subsystem,part_number,description,qty,unit_cost_low,unit_cost_high,vendor,status,notes
Charging Supply,CCPF-1700-1.5P-SYS,Lumina capacitor charging supply 1.5kV/1700J/s,1,800,1500,Lumina (used market),sourcing,Operating at 27% of full scale; verify linearity
Capacitor Bank,ALS70A183QS400,Kemet 18mF/400V aluminum electrolytic screw-terminal,14,140,150,Kemet (Mouser/Digikey),sourcing,Pure parallel; 7x2 grid layout
Capacitor Bank,Cu busbar,25mm x 6mm copper bar,2,15,20,McMaster-Carr,sourcing,~80cm rails; SCR mounted at geometric center
Capacitor Bank,Inrush resistor,~25 ohm 500W power resistor,1,40,80,various,pending-sizing,Tau ~6.3s; verify for cold full-bank charge
Capacitor Bank,Bleed resistor,12.5 kohm 50W,1,20,40,various,sourcing,Tau ~52min; 12.8W steady-state
Capacitor Bank,Dump SCR/contactor,LEV200 or equivalent,1,60,130,Tyco/various,sourcing,Default-closed fail-safe
Capacitor Bank,Freewheel diode,Vishay VS-VSKT160-12 stud rectifier 160A/1200V (or equiv IXYS DSI120-12A),1,20,30,Vishay/IXYS (Mouser/Digikey),sourcing,Reverse-polarity protection; cathode to bank+; M16 stud + small finned heatsink; standard recovery sufficient
Capacitor Bank,Per-cap fuse,Mersen A50QS80-4 80A/500VDC semiconductor protection fuse,14,15,25,Mersen (Mouser/Newark),sourcing,Semiconductor-protection class (NOT ordinary fast-blow); sized for ~4500 A2s per-shot pulse i2t; verify on first commissioning shot. Limits fault energy per cap on internal short.
Capacitor Bank,Bank thermistor,NTC sensor + comparator,1,5,15,various,sourcing,Abort at 40 deg C (lowered from 50 for earlier warning of thermal accumulation)
Discharge Switch,N170CH12,WESTCODE press-pack thyristor W8 puck,1,150,300,WESTCODE (surplus),sourcing,1200V/339A avg/4200A pulse
Discharge Switch,Clamping plates,Aluminum 6061-T651 4"x4"x0.75" precision ground blank,2,40,60,OnlineMetals (mp-00000294),sourcing,For W8 puck fixture; +/-0.002" tolerance; verify flatness on receipt
Discharge Switch,Clamping rods + isolation,4x M8x100mm stainless threaded rod + PEEK sleeves + shoulder washers + M8 nuts,1,20,40,various,sourcing,60mm rod spacing; PEEK isolation between rods and plates
Discharge Switch,Belleville stack,McMaster 96445K446 chrome-vanadium 8.2 ID x 18 OD x 1.0 thick (3 packs of 12),3,3.62,3.62,McMaster-Carr,sourcing,2 nested x 4 inverted per rod (8/rod, 32 total + 4 spares); ~12 kN at 1.5 mm deflection
Discharge Switch,Bus-bar interface hardware,4x M8x20 SS hex head bolt + M8 Belleville lock washer + vinyl insulating cap,1,10,20,various,sourcing,2 bolts per plate tapped into back face; HV-rated insulating caps over bolt heads
Discharge Switch,SD250-3L,Coilcraft pulse transformer for gate driver,1,8,12,Coilcraft (Mouser/Digikey),sourcing,Replaces nonexistent VPH4-0190
Discharge Switch,Gate MOSFET,opto-isolated MOSFET driver,1,5,15,various,sourcing,
Discharge Switch,RC snubber,Across SCR,1,5,15,various,sourcing,
Reaction Chamber,CFQ18X21.6,Wale Apparatus quartz tube 18mm ID x 21.6mm OD x 4ft,1,55,55,Wale Apparatus,sourcing,LOCKED spec; 200-500 shot life
Reaction Chamber,Graphite puck stock,18mm OD isotropic high-density graphite rod 300mm (POCO EDM-3 or Mersen 2333),1,40,80,POCO/Mersen/McMaster,sourcing,Yields ~30 pucks per rod; cut to 17.5mm OD x 8-10mm thick; LOCKED architecture (Arch 4)
Reaction Chamber,Cu push rod,C110 OFHC 10mm OD x 150-250mm ground sealing surface,2,15,30,McMaster-Carr,sourcing,LOCKED architecture (Arch 4); cross-section overspec for 4200A pulse
